state/ut,PC,candidate_name,party,evm_votes,postal_votes,migrant_votes,total_votes,percent_votes,rank
Uttar Pradesh,Baghpat,MANOJ RANA,Akhil Bhartiya Lok Dal,495,8,,503,0.05,14
Uttar Pradesh,Bahraich,AKSHAIBAR LAL,Bharatiya Janata Party,525512,470,,525982,53.14,1
Uttar Pradesh,Bahraich,SHABBIR BALMIKI,Samajwadi Party,396843,387,,397230,40.13,2
Uttar Pradesh,Bahraich,SAVITRI BAI PHULE,Indian National Congress,34383,71,,34454,3.48,3
Uttar Pradesh,Bahraich,NOTA,None of the Above,13184,5,,13189,1.33,4
Uttar Pradesh,Bahraich,JANARDAN GOND,Independent,5179,0,,5179,0.52,5
Uttar Pradesh,Bahraich,SHIVNANDAN,Independent,3524,0,,3524,0.36,6
Uttar Pradesh,Bahraich,JAGDISH KUMAR SINGH,Pragatishil Samajwadi Party (Lohia),2488,1,,2489,0.25,7
Uttar Pradesh,Bahraich,RINKU SAHANI,Shivsena,2423,4,,2427,0.25,8
Uttar Pradesh,Bahraich,GUR PRASAD,Independent,2131,0,,2131,0.22,9
Uttar Pradesh,Bahraich,MAUJILAL,Rashtriya Jan Adhikar Party (United),1662,0,,1662,0.17,10
Uttar Pradesh,Bahraich,RAM SAGAR,Rashtriya Kranti Party,1581,0,,1581,0.16,11
Uttar Pradesh,Ballia,Virendra Singh,Bharatiya Janata Party,464039,5075,,469114,47.4,1
Uttar Pradesh,Ballia,Sanatan Pandey,Samajwadi Party,450408,3187,,453595,45.83,2
Uttar Pradesh,Ballia,Vinod,Suheldev Bharatiya Samaj Party,35874,26,,35900,3.63,3
Uttar Pradesh,Ballia,NOTA,None of the Above,9540,75,,9615,0.97,4
Uttar Pradesh,Ballia,Major Ramesh Chandra Upadhyay,Independent,5435,5,,5440,0.55,5
Uttar Pradesh,Ballia,ARVIND,Bhartiya Jan Nayak Party,3895,130,,4025,0.41,6
Uttar Pradesh,Ballia,GOPAL RAM KHARWAR,Gondvana Gantantra Party,3950,52,,4002,0.4,7
Uttar Pradesh,Ballia,Janmejay Kumar Prajapati,Bharatiya Samta Samaj Party,2442,12,,2454,0.25,8
Uttar Pradesh,Ballia,Seema Chauhan,Janta Kranti Party (Rashtravadi),2409,44,,2453,0.25,9
Uttar Pradesh,Ballia,OM PRAKASH PANDEY,Independent,1768,7,,1775,0.18,10
Uttar Pradesh,Ballia,Uday Prakash,Janta Raj Party,1352,7,,1359,0.14,11
Uttar Pradesh,Banda,R.K. SINGH PATEL,Bharatiya Janata Party,477100,826,,477926,46.2,1
Uttar Pradesh,Banda,SHYAMA CHARAN GUPTA,Samajwadi Party,418647,341,,418988,40.5,2
Uttar Pradesh,Banda,BALKUMAR PATEL,Indian National Congress,75350,88,,75438,7.29,3
Uttar Pradesh,Banda,NOTA,None of the Above,19248,2,,19250,1.86,4
Uttar Pradesh,Banda,CHHOTELAL,Pragatishil Samajwadi Party (Lohia),12746,1,,12747,1.23,5
Uttar Pradesh,Banda,MAHENDRA,Communist Party of India,10347,2,,10349,1,6
Uttar Pradesh,Banda,SHIRAZ RAHAT KHAN,Ambedkar Samaj Party,7869,4,,7873,0.76,7
Uttar Pradesh,Banda,MIRA DEVI,Swatantra Jantaraj Party,6539,6,,6545,0.63,8
Uttar Pradesh,Banda,RAMPRATAP,Independent,5430,3,,5433,0.53,9
Uttar Pradesh,Bansgaon,Kamlesh Paswan,Bharatiya Janata Party,544434,2239,,546673,56.41,1
Uttar Pradesh,Bansgaon,Sadal Prasad,Bahujan Samaj Party,391441,1764,,393205,40.57,2
Uttar Pradesh,Bansgaon,NOTA,None of the Above,14060,33,,14093,1.45,3
Uttar Pradesh,Bansgaon,Surendra Prasad,Pragatishil Samajwadi Party (Lohia),8685,32,,8717,0.9,4
Uttar Pradesh,Bansgaon,Lalchand Prasad,Independent,6444,4,,6448,0.67,5
Uttar Pradesh,Barabanki,Upendra Singh Rawat,Bharatiya Janata Party,535594,323,,535917,46.39,1
Uttar Pradesh,Barabanki,Ram Sagar Rawat,Samajwadi Party,425624,153,,425777,36.85,2
Uttar Pradesh,Barabanki,Tanuj Punia,Indian National Congress,159575,36,,159611,13.82,3
Uttar Pradesh,Barabanki,NOTA,None of the Above,8783,2,,8785,0.76,4
Uttar Pradesh,Barabanki,Asha Devi,Lok Dal,5761,1,,5762,0.5,5
Uttar Pradesh,Barabanki,Molhey Ram Rawat,Independent,4380,1,,4381,0.38,6
Uttar Pradesh,Barabanki,Manju Devi,Independent,3683,0,,3683,0.32,7
Uttar Pradesh,Barabanki,Kishan Lal,Independent,2288,1,,2289,0.2,8
Uttar Pradesh,Barabanki,Tarawati,Awami Samta Party,1920,1,,1921,0.17,9
Uttar Pradesh,Barabanki,Fool Dulari,Samdarshi Samaj Party,1622,2,,1624,0.14,10
Uttar Pradesh,Barabanki,Vinod Kumar,Aam Janta Party (India),1622,0,,1622,0.14,11
Uttar Pradesh,Barabanki,Santosh Kumari,Dr. Bhimrao Ambedkar Dal,1549,0,,1549,0.13,12
Uttar Pradesh,Barabanki,Om kar,Bahujan Mukti Party,1369,2,,1371,0.12,13
Uttar Pradesh,Barabanki,Kalpana Rawat,Bharat Prabhat Party,1048,1,,1049,0.09,14
Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,563533,1737,,565270,52.91,1
Uttar Pradesh,Bareilly,BHAGWAT SARAN GANGWAR,Samajwadi Party,397403,585,,397988,37.25,2
Uttar Pradesh,Bareilly,PRAVEEN SINGH ARON,Indian National Congress,74003,203,,74206,6.95,3
Uttar Pradesh,Bareilly,SATISH KUMAR,Communist Party of India,7515,4,,7519,0.7,4
Uttar Pradesh,Bareilly,SYED RASHID ALI CHAMAN,Independent,3984,3,,3987,0.37,5
Uttar Pradesh,Bareilly,NOTA,None of the Above,3797,27,,3824,0.36,6
Uttar Pradesh,Bareilly,ZAVED KHAN,Independent,2789,0,,2789,0.26,7
Uttar Pradesh,Bareilly,JAGPAL SINGH YADAV,Akhand Samaj Party,2653,2,,2655,0.25,8
Uttar Pradesh,Bareilly,SAMAN TAHIR,Pragatishil Samajwadi Party (Lohia),2482,6,,2488,0.23,9
Uttar Pradesh,Bareilly,RAKESH AGARWAL ADVOCATE,Independent,1985,1,,1986,0.19,10
Uttar Pradesh,Bareilly,NITIN MOHAN,Independent,1192,1,,1193,0.11,11
Uttar Pradesh,Bareilly,USHA AGARWAL,Independent,1071,1,,1072,0.1,12
Uttar Pradesh,Bareilly,LAEEK AHMAD MANSOORI,Naitik Party,851,0,,851,0.08,13
Uttar Pradesh,Bareilly,RABIYA AKHTAR,Khusro Sena Party,687,0,,687,0.06,14
Uttar Pradesh,Bareilly,MANOJ VIKAT,Bahujan Nyay Dal,681,0,,681,0.06,15
Uttar Pradesh,Bareilly,RAHEESH MIYA,VANCHITSAMAJ INSAAF PARTY,644,1,,645,0.06,16
Uttar Pradesh,Bareilly,YATENDRA SINGH,Bahujan Samyak Party (Mission),498,3,,501,0.05,17
Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,469214,1948,,471162,44.68,1
Uttar Pradesh,Basti,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,437641,3167,,440808,41.8,2
Uttar Pradesh,Basti,RAJ KISHOR SINGH,Indian National Congress,86453,467,,86920,8.24,3
Uttar Pradesh,Basti,VINOD KUMAR RAJBHAR,Suheldev Bharatiya Samaj Party,11960,11,,11971,1.14,4
Uttar Pradesh,Basti,NOTA,None of the Above,10298,37,,10335,0.98,5
Uttar Pradesh,Basti,RANGI LAL YADAV,Independent,7638,1,,7639,0.72,6
Uttar Pradesh,Basti,PANKAJ DUBEY,Lok Gathbandhan Party,7340,5,,7345,0.7,7
Uttar Pradesh,Basti,BHAGWANDAS,Independent,5589,1,,5590,0.53,8
Uttar Pradesh,Basti,RAM PRASAD CHAURASIYA,Janhit Kisan Party,3734,3,,3737,0.35,9
Uttar Pradesh,Basti,ROHIT KUMAR PATHAK,Hindusthan Nirman Dal,3179,3,,3182,0.3,10
Uttar Pradesh,Basti,CHANDRA MANI PANDEY,Independent,3161,9,,3170,0.3,11
Uttar Pradesh,Basti,PRAMOD SHUKLA,"Rashtrawadi Party of India,",2678,2,,2680,0.25,12
Uttar Pradesh,Bhadohi,RAMESH CHAND,Bharatiya Janata Party,508989,1040,,510029,49.07,1
Uttar Pradesh,Bhadohi,RANGNATH MISHRA,Bahujan Samaj Party,465412,1002,,466414,44.87,2
Uttar Pradesh,Bhadohi,RAMAKANT,Indian National Congress,25508,96,,25604,2.46,3
Uttar Pradesh,Bhadohi,NOTA,None of the Above,9079,8,,9087,0.87,4
Uttar Pradesh,Bhadohi,SAIYYAD MOHAMMAD ARIF,Independent,5050,0,,5050,0.49,5
Uttar Pradesh,Bhadohi,Dr Rajesh Kumar Verma,Peoples Party of India (Democratic),4647,1,,4648,0.45,6
Uttar Pradesh,Bhadohi,Akhilesh,Nationalist Congress Party,4558,12,,4570,0.44,7
Uttar Pradesh,Bhadohi,SUSHIL,Independent,4052,0,,4052,0.39,8
Uttar Pradesh,Bhadohi,SANTLAL,Independent,2764,0,,2764,0.27,9
Uttar Pradesh,Bhadohi,VINOD,Hindusthan Nirman Dal,1943,0,,1943,0.19,10
Uttar Pradesh,Bhadohi,Satish Bahadur,Independent,1819,0,,1819,0.18,11
Uttar Pradesh,Bhadohi,RAM SAKHA,Independent,1764,0,,1764,0.17,12
Uttar Pradesh,Bhadohi,KULDEEP,Independent,1644,2,,1646,0.16,13
Uttar Pradesh,Bijnor,MALOOK NAGAR,Bahujan Samaj Party,559824,1221,,561045,50.97,1
Uttar Pradesh,Bijnor,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,488061,3043,,491104,44.61,2
Uttar Pradesh,Bijnor,NASIMUDDIN SIDDIQUI,Indian National Congress,25699,134,,25833,2.35,3
Uttar Pradesh,Bijnor,NOTA,None of the Above,4374,30,,4404,0.4,4
Uttar Pradesh,Bijnor,ILAMSINGH,Pragatishil Samajwadi Party (Lohia),3970,9,,3979,0.36,5
Uttar Pradesh,Bijnor,MOHD. ZAHID,Independent,3237,1,,3238,0.29,6
Uttar Pradesh,Bijnor,MUKESH KUMAR,All India Forward Bloc,2817,0,,2817,0.26,7
Uttar Pradesh,Bijnor,MAHAK SINGH,Independent,2260,0,,2260,0.21,8
Uttar Pradesh,Bijnor,SONU,Jansatta Party,1535,0,,1535,0.14,9
Uttar Pradesh,Bijnor,ANSH CHAITANYA MAHARAJ,Hindusthan Nirman Dal,1160,2,,1162,0.11,10
Uttar Pradesh,Bijnor,RAJIV CHOUDHARY,Bhartiya Kisan Party,1078,7,,1085,0.1,11
Uttar Pradesh,Bijnor,MANGERAM,Peoples Party of India (Democratic),842,1,,843,0.08,12
Uttar Pradesh,Bijnor,BABLOO RAM,Bharatiya Sarvodaya Kranti Party,827,2,,829,0.08,13
Uttar Pradesh,Bijnor,PARVEZ AKIL,All India Minorities Front,629,0,,629,0.06,14
Uttar Pradesh,Bulandshahr,BHOLA SINGH,Bharatiya Janata Party,677196,4125,,681321,60.64,1
Uttar Pradesh,Bulandshahr,YOGESH VERMA,Bahujan Samaj Party,390458,806,,391264,34.82,2
Uttar Pradesh,Bulandshahr,BANSHI SINGH,Indian National Congress,29288,177,,29465,2.62,3
Uttar Pradesh,Bulandshahr,NOTA,None of the Above,5696,23,,5719,0.51,4
Uttar Pradesh,Bulandshahr,RADHIKA DEVI,Independent,5152,18,,5170,0.46,5
Uttar Pradesh,Bulandshahr,PRAMOD KUMAR,Rashtriya Samaj Paksha,3657,7,,3664,0.33,6
Uttar Pradesh,Bulandshahr,MANOJ KUMAR SINGH,Independent,3386,2,,3388,0.3,7
Uttar Pradesh,Bulandshahr,REENA DEVI,National Bhrashtachar Mukt Party,1434,19,,1453,0.13,8
Uttar Pradesh,Bulandshahr,SATISH,Bharatiya Bahujan Parivartan  Party,1259,9,,1268,0.11,9
Uttar Pradesh,Bulandshahr,VINAY KUMAR SINGH,Aapki Apni Party (Peoples),916,1,,917,0.08,10
Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,Bharatiya Janata Party,508113,2620,,510733,47.07,1
Uttar Pradesh,Chandauli,Sanjay Singh Chauhan,Samajwadi Party,494689,2085,,496774,45.79,2
Uttar Pradesh,Chandauli,Shivkanya Kushwaha,Jan Adhikar Party,22190,101,,22291,2.05,3
Uttar Pradesh,Chandauli,Ramgovind,Suheldev Bharatiya Samaj Party,18971,14,,18985,1.75,4
Uttar Pradesh,Chandauli,NOTA,None of the Above,11182,36,,11218,1.03,5
Uttar Pradesh,Chandauli,Liyakat Ali,Independent,5411,5,,5416,0.5,6
Uttar Pradesh,Chandauli,Mahender Yadav,Pragatisheel Manav Samaj Party,4218,7,,4225,0.39,7
Uttar Pradesh,Chandauli,Arjun Pandey,Atulya Bharat Party,4086,10,,4096,0.38,8
Uttar Pradesh,Chandauli,Rajesh Vishwakarma,Moulik Adhikar Party,3077,4,,3081,0.28,9
Uttar Pradesh,Chandauli,Krishna Pratap Singh,Samagra Utthan Party,2741,3,,2744,0.25,10
Uttar Pradesh,Chandauli,Shivratri,Prithviraj Janshakti Party,2260,1,,2261,0.21,11
Uttar Pradesh,Chandauli,Jangbahadur,Bhartiya Manav Samaj Party,1166,6,,1172,0.11,12
