state/ut,PC,candidate_name,party,evm_votes,postal_votes,migrant_votes,total_votes,percent_votes,rank
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,95249,59,,95308,45.98,1
Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,Bharatiya Janata Party,93772,129,,93901,45.3,2
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PARITOSH KUMAR HALDAR,Independent,5339,2,,5341,2.58,3
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Aam Aadmi Party,2837,2,,2839,1.37,4
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Bahujan Samaj Party,2478,8,,2486,1.2,5
Andaman & Nicobar Islands,Andaman & Nicobar Islands,AYAN MANDAL,All India Trinamool Congress,1717,4,,1721,0.83,6
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,None of the Above,1411,1,,1412,0.68,7
Andaman & Nicobar Islands,Andaman & Nicobar Islands,HENRY,Independent,994,0,,994,0.48,8
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Independent,914,0,,914,0.44,9
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MINATI BISWAS,Independent,615,3,,618,0.3,10
Andaman & Nicobar Islands,Andaman & Nicobar Islands,S SUDERSHAN RAO,Independent,475,0,,475,0.23,11
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Independent,305,1,,306,0.15,12
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K KALIMUTHU,Independent,269,6,,275,0.13,13
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C U RASHEED,Independent,272,1,,273,0.13,14
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Independent,221,0,,221,0.11,15
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,,212,0.1,16
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,,485313,39.43,1
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,,445347,36.18,2
Andhra Pradesh,Amalapuram,D M R SEKHAR,Janasena Party,253271,1577,,254848,20.7,3
Andhra Pradesh,Amalapuram,NOTA,None of the Above,16408,41,,16449,1.34,4
Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,,11516,0.94,5
Andhra Pradesh,Amalapuram,JANGA GOUTHAM,Indian National Congress,7840,38,,7878,0.64,6
Andhra Pradesh,Amalapuram,REVU SUDHAKAR,Independent,2770,1,,2771,0.23,7
Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,,1950,0.16,8
Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,,1802,0.15,9
Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,,1801,0.15,10
Andhra Pradesh,Amalapuram,CHELLE RAJANI,Jana Jagruti Party,1228,0,,1228,0.1,11
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,,586226,47.33,1
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,Telugu Desam,495381,1653,,497034,40.13,2
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,Janasena Party,82126,462,,82588,6.67,3
Andhra Pradesh,Anakapalli,NOTA,None of the Above,34877,20,,34897,2.82,4
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,,13276,1.07,5
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,Indian National Congress,10072,49,,10121,0.82,6
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4443,1,,4444,0.36,7
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,Independent,3760,5,,3765,0.3,8
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),2708,8,,2716,0.22,9
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,Pyramid Party of India,1801,2,,1803,0.15,10
Andhra Pradesh,Anakapalli,K B SWAROOP,Jana Jagruti Party,1615,6,,1621,0.13,11
Andhra Pradesh,Anantapur,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,690901,4307,,695208,51.79,1
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,Telugu Desam,550597,3183,,553780,41.26,2
Andhra Pradesh,Anantapur,K.RAJIV REDDY,Indian National Congress,29994,85,,30079,2.24,3
Andhra Pradesh,Anantapur,D.JAGADEESH,Communist Party of India,20192,102,,20294,1.51,4
Andhra Pradesh,Anantapur,NOTA,None of the Above,16406,60,,16466,1.23,5
Andhra Pradesh,Anantapur,HAMSA DEVINENI,Bharatiya Janata Party,7440,164,,7604,0.57,6
Andhra Pradesh,Anantapur,S.V.P. YADAV,Independent,4398,0,,4398,0.33,7
Andhra Pradesh,Anantapur,P. RANGAIAH,Independent,3580,8,,3588,0.27,8
Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,Independent,3236,1,,3237,0.24,9
Andhra Pradesh,Anantapur,VADDE KASINATH,Independent,2063,3,,2066,0.15,10
Andhra Pradesh,Anantapur,L. RANGAIAH,Independent,1688,3,,1691,0.13,11
Andhra Pradesh,Anantapur,P.RADHA KRISHNA,Radical Democrats,1219,1,,1220,0.09,12
Andhra Pradesh,Anantapur,M.VENKATESULU,Pyramid Party of India,1043,5,,1048,0.08,13
Andhra Pradesh,Anantapur,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),890,9,,899,0.07,14
Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,Vishwa Jana Party,728,0,,728,0.05,15
Andhra Pradesh,Aruku,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,557561,4629,,562190,52.32,1
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,Telugu Desam,336163,1938,,338101,31.46,2
Andhra Pradesh,Aruku,NOTA,None of the Above,47955,22,,47977,4.46,3
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,Janasena Party,42245,549,,42794,3.98,4
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17578,289,,17867,1.66,5
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,Indian National Congress,17656,74,,17730,1.65,6
Andhra Pradesh,Aruku,KANGALA BALUDORA,Independent,13810,16,,13826,1.29,7
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,Independent,11231,5,,11236,1.05,8
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,Independent,10211,29,,10240,0.95,9
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,Independent,7863,4,,7867,0.73,10
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4705,5,,4710,0.44,11
Andhra Pradesh,Bapatla,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,592250,6007,,598257,47.24,1
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,Telugu Desam,577403,4789,,582192,45.97,2
Andhra Pradesh,Bapatla,K. DEVANAND,Bahujan Samaj Party,42262,318,,42580,3.36,3
Andhra Pradesh,Bapatla,NOTA,None of the Above,13178,40,,13218,1.04,4
Andhra Pradesh,Bapatla,J.D. SEELAM,Indian National Congress,12941,214,,13155,1.04,5
Andhra Pradesh,Bapatla,CHALLAGALI KISHORE KUMAR,Bharatiya Janata Party,9842,509,,10351,0.82,6
Andhra Pradesh,Bapatla,BUSSA NAGARAJU,Independent,1943,8,,1951,0.15,7
Andhra Pradesh,Bapatla,GOLLA BABURAO,Independent,1271,5,,1276,0.1,8
Andhra Pradesh,Bapatla,KUMAR KATTEPOGU,Pyramid Party of India,877,8,,885,0.07,9
Andhra Pradesh,Bapatla,GELLA NAGAMALLI,Independent,651,4,,655,0.05,10
Andhra Pradesh,Bapatla,NUTHAKKI RAMA RAO,All India Praja Party,600,6,,606,0.05,11
Andhra Pradesh,Bapatla,GADDE HARI BABU,Navodayam Party,521,9,,530,0.04,12
Andhra Pradesh,Bapatla,CHINA NAGESWARA RAO SADHU,Mundadugu Praja Party,463,3,,466,0.04,13
Andhra Pradesh,Bapatla,THUMATI RAVI,All Peoples Party,368,2,,370,0.03,14
Andhra Pradesh,Chittoor,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,681325,5467,,686792,52.05,1
Andhra Pradesh,Chittoor,NARAMALLI SIVA PRASAD,Telugu Desam,545374,4147,,549521,41.65,2
Andhra Pradesh,Chittoor,CHEEMALA. RANGAPPA,Indian National Congress,24497,146,,24643,1.87,3
Andhra Pradesh,Chittoor,NOTA,None of the Above,20503,53,,20556,1.56,4
Andhra Pradesh,Chittoor,C. PUNYAMURTHY,Bahujan Samaj Party,19952,110,,20062,1.52,5
Andhra Pradesh,Chittoor,JAYARAM DUGGANI,Bharatiya Janata Party,10137,359,,10496,0.8,6
Andhra Pradesh,Chittoor,PALLIPATTU. ABHINAV VISHNU,Mundadugu Praja Party,3441,4,,3445,0.26,7
Andhra Pradesh,Chittoor,A. HEMANTH,Independent,2089,5,,2094,0.16,8
Andhra Pradesh,Chittoor,P. RAMACHANDRAN,Independent,1854,9,,1863,0.14,9
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,672834,3975,,676809,50.97,1
Andhra Pradesh,Eluru,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,509549,1335,,510884,38.47,2
Andhra Pradesh,Eluru,PENTAPATI PULLARAO,Janasena Party,76481,346,,76827,5.79,3
Andhra Pradesh,Eluru,NOTA,None of the Above,23861,19,,23880,1.8,4
Andhra Pradesh,Eluru,JETTI GURUNADHA RAO,Indian National Congress,20284,94,,20378,1.53,5
Andhra Pradesh,Eluru,CHINNAM RAMA KOTAYYA,Bharatiya Janata Party,8317,95,,8412,0.63,6
Andhra Pradesh,Eluru,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),Independent,3010,0,,3010,0.23,7
Andhra Pradesh,Eluru,CHINA VENKATA SURYANARAYANA JOSYULA,Pyramid Party of India,2932,3,,2935,0.22,8
Andhra Pradesh,Eluru,MATHE. BOBBY,Republican Party of India (A),1871,8,,1879,0.14,9
Andhra Pradesh,Eluru,ALAGA. RAVI KUMAR,Independent,1648,0,,1648,0.12,10
Andhra Pradesh,Eluru,V. SIVA RAMA KRISHNA,Jana Jagruti Party,1261,0,,1261,0.09,11
Andhra Pradesh,Guntur,Jayadev Galla,Telugu Desam,586292,1626,,587918,43.5,1
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,580840,2873,,583713,43.19,2
Andhra Pradesh,Guntur,Bonaboyina Srinivasa Rao,Janasena Party,128746,459,,129205,9.56,3
Andhra Pradesh,Guntur,Shaik Mastanvali,Indian National Congress,14124,81,,14205,1.05,4
Andhra Pradesh,Guntur,Jayaprakash Narayana Valluru,Bharatiya Janata Party,11667,174,,11841,0.88,5
Andhra Pradesh,Guntur,NOTA,None of the Above,5972,34,,6006,0.44,6
Andhra Pradesh,Guntur,Mannava Hariprasad,Communist Party of India (Marxist-Leninist) Red Star,3212,4,,3216,0.24,7
Andhra Pradesh,Guntur,Dasari Kiran Babu,Independent,2907,2,,2909,0.22,8
Andhra Pradesh,Guntur,Umar Basha Shaik,Independent,2676,0,,2676,0.2,9
Andhra Pradesh,Guntur,Yanamadala Venkata Suresh,Independent,1947,0,,1947,0.14,10
Andhra Pradesh,Guntur,Ramarao Simhadri,Praja Shanthi Party,1744,2,,1746,0.13,11
Andhra Pradesh,Guntur,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),1015,2,,1017,0.08,12
Andhra Pradesh,Guntur,Nagaraju Ekula,Republican Party of India (A),920,0,,920,0.07,13
Andhra Pradesh,Guntur,Araveti Hazarath Rao,Pyramid Party of India,808,2,,810,0.06,14
Andhra Pradesh,Guntur,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,639,2,,641,0.05,15
Andhra Pradesh,Guntur,Doppalapudi Veera Das,Independent,629,0,,629,0.05,16
Andhra Pradesh,Guntur,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,628,0,,628,0.05,17
Andhra Pradesh,Guntur,Shaik Jaleel,Navarang Congress Party,560,3,,563,0.04,18
Andhra Pradesh,Guntur,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,447,0,,447,0.03,19
Andhra Pradesh,Guntur,Jeldi Raja Mohan,All India Praja Party,437,0,,437,0.03,20
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,699739,6863,,706602,52.79,1
Andhra Pradesh,Hindupur,KRISTAPPA . NIMMALA,Telugu Desam,561602,4252,,565854,42.27,2
Andhra Pradesh,Hindupur,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),Indian National Congress,26973,183,,27156,2.03,3
Andhra Pradesh,Hindupur,NOTA,None of the Above,17356,72,,17428,1.3,4
Andhra Pradesh,Hindupur,MITTA PARTHASARATHI,Bharatiya Janata Party,13530,275,,13805,1.03,5
Andhra Pradesh,Hindupur,Ramamohan D.G.,Independent,2230,1,,2231,0.17,6
Andhra Pradesh,Hindupur,GOGULA PULAKUNTA JAYANTH,Independent,1578,4,,1582,0.12,7
Andhra Pradesh,Hindupur,Mugi Surya Prakash,Independent,1315,1,,1316,0.1,8
Andhra Pradesh,Hindupur,Ram Mohan Singamneni,Pyramid Party of India,1305,8,,1313,0.1,9
Andhra Pradesh,Hindupur,S.R.Anjaneyulu,Independent,1215,12,,1227,0.09,10
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,778267,5532,,783799,63.8,1
Andhra Pradesh,Kadapa,Chadipirala Adi Narayana Reddy,Telugu Desam,400192,2631,,402823,32.79,2
Andhra Pradesh,Kadapa,NOTA,None of the Above,14629,63,,14692,1.2,3
Andhra Pradesh,Kadapa,Gundlakunta Sreeramulu,Indian National Congress,8280,61,,8341,0.68,4
Andhra Pradesh,Kadapa,Gujjula Eswaraiah,Communist Party of India,6152,90,,6242,0.51,5
Andhra Pradesh,Kadapa,Sri Rama Chandra Singareddy,Bharatiya Janata Party,3917,168,,4085,0.33,6
Andhra Pradesh,Kadapa,Venu Gopal Rachineni,Independent,1748,0,,1748,0.14,7
Andhra Pradesh,Kadapa,Siva Chandra Reddy Komma,Anna YSR Congress Party,1398,24,,1422,0.12,8
Andhra Pradesh,Kadapa,Gona Purushottam Reddy,Independent,1131,3,,1134,0.09,9
Andhra Pradesh,Kadapa,Peddireddy Showry Subhash Reddy,Independent,865,0,,865,0.07,10
Andhra Pradesh,Kadapa,Nyamatulla Shaik,Independent,755,4,,759,0.06,11
Andhra Pradesh,Kadapa,Pedakala Varalakshmi,Pyramid Party of India,705,11,,716,0.06,12
Andhra Pradesh,Kadapa,Jakku Chenna Krishna Reddy,Independent,578,1,,579,0.05,13
Andhra Pradesh,Kadapa,Ameen Peeran Shaik,Ambedkar National Congress,571,2,,573,0.05,14
Andhra Pradesh,Kadapa,Chadipirala Siva Narayana Reddy,Navarang Congress Party,445,1,,446,0.04,15
Andhra Pradesh,Kadapa,Lakshmi Reddy Putha,Rajyadhikara Party,365,3,,368,0.03,16
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,534655,2975,,537630,43.54,1
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Telugu Desam,508361,3531,,511892,41.46,2
Andhra Pradesh,Kakinada,JYOTHULA VENKATESWARA RAO,Janasena Party,132124,524,,132648,10.74,3
Andhra Pradesh,Kakinada,NOTA,None of the Above,17117,36,,17153,1.39,4
Andhra Pradesh,Kakinada,YALLA VENKATA RAMA MOHAN RAO (DORABABU),Bharatiya Janata Party,9456,140,,9596,0.78,5
Andhra Pradesh,Kakinada,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),Indian National Congress,8601,39,,8640,0.7,6
Andhra Pradesh,Kakinada,KAKILETI RAVINDRA,Independent,3325,2,,3327,0.27,7
Andhra Pradesh,Kakinada,APPALAKONDA VANGALAPUDI,Mundadugu Praja Party,2997,0,,2997,0.24,8
Andhra Pradesh,Kakinada,MEDISETTI VIJAYA KUMAR,Independent,2051,0,,2051,0.17,9
Andhra Pradesh,Kakinada,GODUGU SATYANARAYANA,Communist Party of India  (Marxist-Leninist)  (Liberation),1723,1,,1724,0.14,10
Andhra Pradesh,Kakinada,B. GEETHA,Praja Shanthi Party,1687,1,,1688,0.14,11
Andhra Pradesh,Kakinada,ANKADI SATHIBABU,Independent,1381,0,,1381,0.11,12
Andhra Pradesh,Kakinada,SATHI VEERALAKSHMI,Pyramid Party of India,1117,2,,1119,0.09,13
Andhra Pradesh,Kakinada,VASAMSETTY VENKATARAMANA,All India Forward Bloc,1012,2,,1014,0.08,14
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,All India Praja Party,980,0,,980,0.08,15
Andhra Pradesh,Kakinada,PEDDIMSETTI. VENKATESWARARAO,Jana Jagruti Party,812,3,,815,0.07,16
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,600190,2364,,602554,50.98,1
Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,450341,3324,,453665,38.38,2
Andhra Pradesh,Kurnool,AHMED ALI KHAN,Indian National Congress,36169,89,,36258,3.07,3
Andhra Pradesh,Kurnool,Dr. PARTHASARATHI VALMIKI,Bharatiya Janata Party,24089,241,,24330,2.06,4
Andhra Pradesh,Kurnool,K. PRABHAKARA REDDY,Communist Party of India  (Marxist),18818,101,,18919,1.6,5
Andhra Pradesh,Kurnool,T. BEECHUPALLY,Independent,9771,0,,9771,0.83,6
Andhra Pradesh,Kurnool,NOTA,None of the Above,7643,26,,7669,0.65,7
Andhra Pradesh,Kurnool,ABDUL WARIS,SOCIAL DEMOCRATIC PARTY OF INDIA,7261,4,,7265,0.61,8
Andhra Pradesh,Kurnool,P.V. SRIHARI,Independent,6548,3,,6551,0.55,9
Andhra Pradesh,Kurnool,DANDU SESHU YADAV,Samajwadi Party,3264,2,,3266,0.28,10
Andhra Pradesh,Kurnool,BALIJA. SHIVA KUMAR,Independent,2741,0,,2741,0.23,11
Andhra Pradesh,Kurnool,G Sanjeeva Kumar,Samajwadi Forward Bloc,2095,2,,2097,0.18,12
Andhra Pradesh,Kurnool,DEVARAPOGU MADDILETY,Independent,1696,1,,1697,0.14,13
Andhra Pradesh,Kurnool,HATCHOLI THOMAS,Independent,1489,7,,1496,0.13,14
Andhra Pradesh,Kurnool,M. NAGANNA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1283,2,,1285,0.11,15
Andhra Pradesh,Kurnool,KASULA RAJASEKHAR,Pyramid Party of India,1223,3,,1226,0.1,16
Andhra Pradesh,Kurnool,S.MD. SHAFATH,Rayalaseema Rashtra Samithi,1220,1,,1221,0.1,17
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,566178,5258,,571436,46.02,1
Andhra Pradesh,Machilipatnam,KONAKALLA NARAYANA RAO,Telugu Desam,508570,2725,,511295,41.18,2
Andhra Pradesh,Machilipatnam,BANDREDDI RAMAKRISHNA,Janasena Party,112416,876,,113292,9.12,3
Andhra Pradesh,Machilipatnam,NOTA,None of the Above,14043,34,,14077,1.13,4
Andhra Pradesh,Machilipatnam,GOLLU KRISHNA,Indian National Congress,12207,77,,12284,0.99,5
Andhra Pradesh,Machilipatnam,GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,6355,107,,6462,0.52,6
Andhra Pradesh,Machilipatnam,VIJAYA LAKSHMI CHALAPAKA,Independent,4766,13,,4779,0.38,7
Andhra Pradesh,Machilipatnam,PERAM SIVA NAGESWARA RAO,Republican Party of India (A),3620,2,,3622,0.29,8
Andhra Pradesh,Machilipatnam,YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,1016,1,,1017,0.08,9
Andhra Pradesh,Machilipatnam,GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,895,1,,896,0.07,10
Andhra Pradesh,Machilipatnam,GANDHI DHANEKULA,Independent,846,0,,846,0.07,11
Andhra Pradesh,Machilipatnam,VALLURU VENKATESWARA RAO,Pyramid Party of India,824,2,,826,0.07,12
Andhra Pradesh,Machilipatnam,NADAKUDITI NAGA GAYATHRI,Independent,771,2,,773,0.06,13
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,715024,5864,,720888,55.49,1
Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,Telugu Desam,466869,3900,,470769,36.24,2
Andhra Pradesh,Nandyal,S.P.Y. REDDY,Janasena Party,38568,303,,38871,2.99,3
Andhra Pradesh,Nandyal,JANGITE LAKSHMI NARASIMHA YADAV,Indian National Congress,14313,107,,14420,1.11,4
Andhra Pradesh,Nandyal,NOTA,None of the Above,9759,32,,9791,0.75,5
Andhra Pradesh,Nandyal,ADINARAYANA INTY,Bharatiya Janata Party,8794,272,,9066,0.7,6
Andhra Pradesh,Nandyal,POLURU GURUVAIAH.,Independent,6099,0,,6099,0.47,7
Andhra Pradesh,Nandyal,BHUMA KISHOR REDDY,Independent,4848,4,,4852,0.37,8
Andhra Pradesh,Nandyal,JESTADI SUDHAKAR,Independent,4542,0,,4542,0.35,9
Andhra Pradesh,Nandyal,D. P. JAMAL BASHA.,Anna YSR Congress Party,3981,108,,4089,0.31,10
Andhra Pradesh,Nandyal,I.V. PAKKIR REDDY,Independent,3103,0,,3103,0.24,11
Andhra Pradesh,Nandyal,B.C. RAMANATHA REDDY,Independent,2543,0,,2543,0.2,12
Andhra Pradesh,Nandyal,VANGALA PARAMESWARA REDDY.,Independent,2380,2,,2382,0.18,13
Andhra Pradesh,Nandyal,C. SURENDRA NATH REDDY,Independent,1708,0,,1708,0.13,14
Andhra Pradesh,Nandyal,Dr. LAKSHMI KANTHA REDDY CHITLA,Independent,1428,1,,1429,0.11,15
Andhra Pradesh,Nandyal,PULA. NAGAMADDILETY,Ambedkar National Congress,931,6,,937,0.07,16
Andhra Pradesh,Nandyal,S. A. INDUMATHI,Independent,842,5,,847,0.07,17
Andhra Pradesh,Nandyal,K.P. KAMBAGIRISWAMY.,Independent,765,2,,767,0.06,18
Andhra Pradesh,Nandyal,RUDDIREDDY RADHAKRISHNA,All India Forward Bloc,667,6,,673,0.05,19
Andhra Pradesh,Nandyal,ELLURI. BHUPAL.,Independent,667,1,,668,0.05,20
Andhra Pradesh,Nandyal,D. MAHAMMAD RAFI .,B. C. United Front,645,4,,649,0.05,21
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,740041,5048,,745089,51.83,1
Andhra Pradesh,Narasaraopet,RAYAPATI SAMBASIVARAO,Telugu Desam,588900,2211,,591111,41.12,2
Andhra Pradesh,Narasaraopet,NAYUB KAMAL SHAIK,Janasena Party,50518,295,,50813,3.53,3
Andhra Pradesh,Narasaraopet,KANNA LAKSHMI NARAYANA,Bharatiya Janata Party,15237,231,,15468,1.08,4
Andhra Pradesh,Narasaraopet,NOTA,None of the Above,13664,38,,13702,0.95,5
Andhra Pradesh,Narasaraopet,PAKKALA SURIBABU,Indian National Congress,10976,56,,11032,0.77,6
Andhra Pradesh,Narasaraopet,ALLU VENKATAREDDY,Pyramid Party of India,2892,4,,2896,0.2,7
Andhra Pradesh,Narasaraopet,DURGAMPUDI RAMIREDDY,Independent,2683,1,,2684,0.19,8
Andhra Pradesh,Narasaraopet,REDDYBOINA PRASANNA KUMAR,Independent,1394,1,,1395,0.1,9
Andhra Pradesh,Narasaraopet,KANAKAM SRINIVASARAO,National Nava Kranthi Party,1065,4,,1069,0.07,10
Andhra Pradesh,Narasaraopet,PARIMI NARASIMHA RAO,Independent,999,2,,1001,0.07,11
Andhra Pradesh,Narasaraopet,GADDALA VENU,Independent,623,3,,626,0.04,12
Andhra Pradesh,Narasaraopet,SURABHI DEVASAHAYAM,Indian Union Muslim League,423,0,,423,0.03,13
Andhra Pradesh,Narasaraopet,KANTE SAYANNA,Independent,365,1,,366,0.03,14
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,442736,4858,,447594,38.11,1
Andhra Pradesh,Narsapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,413674,2011,,415685,35.39,2
Andhra Pradesh,Narsapuram,NAGABABU KONIDELA,Janasena Party,248675,1614,,250289,21.31,3
Andhra Pradesh,Narsapuram,KANUMURU BAPIRAJU,Indian National Congress,13678,132,,13810,1.18,4
Andhra Pradesh,Narsapuram,PYDIKONDALA MANIKYALA RAO,Bharatiya Janata Party,12118,260,,12378,1.05,5
Andhra Pradesh,Narsapuram,NOTA,None of the Above,12031,35,,12066,1.03,6
Andhra Pradesh,Narsapuram,YELLA VENU GOPAL RAO,Nava Samaj Party,4268,2,,4270,0.36,7
Andhra Pradesh,Narsapuram,G S RAJU,Samajwadi Party,3459,3,,3462,0.29,8
Andhra Pradesh,Narsapuram,K.A.PAUL,Praja Shanthi Party,3018,19,,3037,0.26,9
Andhra Pradesh,Narsapuram,MEDAPATI VARAHALA REDDY,Independent,2674,3,,2677,0.23,10
Andhra Pradesh,Narsapuram,NALLI RAJESH,Independent,2646,2,,2648,0.23,11
Andhra Pradesh,Narsapuram,NALLAM SURYA CHANDRA RAO,Pyramid Party of India,2194,9,,2203,0.19,12
Andhra Pradesh,Narsapuram,DASARI KRISHNA MURTHY,India Praja Bandhu Party,1600,0,,1600,0.14,13
Andhra Pradesh,Narsapuram,GOTTUMUKKALA SHIVAJI,Independent,1273,0,,1273,0.11,14
Andhra Pradesh,Narsapuram,GANJI PURNIMA,Republican Party of India (A),865,2,,867,0.07,15
Andhra Pradesh,Narsapuram,GURUGUBILLI RAMBABU,Marxist Communist Party of India (United),582,0,,582,0.05,16
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,677014,6816,,683830,53.13,1
Andhra Pradesh,Nellore,Beeda Masthan Rao,Telugu Desam,529571,5688,,535259,41.59,2
Andhra Pradesh,Nellore,Chandra Rajagopal,Communist Party of India  (Marxist),18571,259,,18830,1.46,3
Andhra Pradesh,Nellore,NOTA,None of the Above,17128,33,,17161,1.33,4
Andhra Pradesh,Nellore,Sannapureddy Suresh Reddy,Bharatiya Janata Party,12278,235,,12513,0.97,5
Andhra Pradesh,Nellore,Chevuru Devakumar Reddy,Indian National Congress,9973,48,,10021,0.78,6
Andhra Pradesh,Nellore,Narasapuram Prasad,Independent,2397,2,,2399,0.19,7
Andhra Pradesh,Nellore,Dr. S. Suresh Babu,Independent,1482,0,,1482,0.12,8
Andhra Pradesh,Nellore,Shaik Mahaboob Basha (Mabu),Republican Party of India (A),1317,2,,1319,0.1,9
Andhra Pradesh,Nellore,Butti Nagaraju,Independent,1089,12,,1101,0.09,10
Andhra Pradesh,Nellore,Sukapalli Naveen,Independent,1014,0,,1014,0.08,11
